Date,Category,Payment Mode,Description,Amount Paid,Cashback
2024-03-22,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,2556.12,0.0
2024-03-25,Income Tax,Debit Card,Annual income tax payment.,275.14,0.0
2024-03-15,Gifts,Debit Card,Purchased gifts for friends and family.,1246.7,0.0
2024-03-27,Travel,Credit Card,Expense for travel tickets and accommodation.,2660.87,0.0
2024-03-11,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",3548.88,0.0
2024-03-13,Gifts,Debit Card,Purchased gifts for friends and family.,3263.5,0.0
2024-03-20,Transportation,Cash,Daily commute and fuel expenses.,1892.1,0.0
2024-03-18,Gifts,Cash,Purchased gifts for friends and family.,4382.65,0.0
2024-03-09,Travel,Debit Card,Expense for travel tickets and accommodation.,3864.48,0.0
2024-03-18,Gifts,Credit Card,Purchased gifts for friends and family.,3649.28,0.0
2024-03-09,Gifts,Credit Card,Purchased gifts for friends and family.,179.42,0.0
2024-03-27,Transportation,Cash,Daily commute and fuel expenses.,3695.22,0.0
2024-03-20,Travel,Credit Card,Expense for travel tickets and accommodation.,2448.1,0.0
2024-03-22,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,905.03,0.0
2024-03-17,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,1357.0,0.0
2024-03-02,Travel,Cash,Expense for travel tickets and accommodation.,2863.32,0.0
2024-03-26,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3920.87,0.0
2024-03-10,Gifts,Credit Card,Purchased gifts for friends and family.,2275.23,0.0
2024-03-12,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,1472.85,0.0
2024-03-06,Income Tax,UPI,Annual income tax payment.,4390.59,7.01
2024-03-01,Entertainment,UPI,"Movies, concerts, and recreational activities.",1112.51,13.11
2024-03-04,Entertainment,UPI,"Movies, concerts, and recreational activities.",454.63,1.63
2024-03-02,Income Tax,Debit Card,Annual income tax payment.,2525.84,0.0
2024-03-18,Income Tax,UPI,Annual income tax payment.,841.54,4.77
2024-03-27,Travel,UPI,Expense for travel tickets and accommodation.,3628.36,1.87
2024-03-05,Groceries,Cash,Purchased groceries and household items.,692.18,0.0
2024-03-11,Subscriptions,Cash,Online streaming and magazine subscriptions.,2213.31,0.0
2024-03-18,Entertainment,Cash,"Movies, concerts, and recreational activities.",2314.62,0.0
2024-03-13,Gifts,UPI,Purchased gifts for friends and family.,2732.98,8.38
2024-03-20,Income Tax,Credit Card,Annual income tax payment.,2011.28,0.0
2024-03-13,Travel,Cash,Expense for travel tickets and accommodation.,4509.5,0.0
2024-03-07,Subscriptions,UPI,Online streaming and magazine subscriptions.,3275.7,12.26
2024-03-03,Gifts,Debit Card,Purchased gifts for friends and family.,473.22,0.0
2024-03-17,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",4118.81,0.0
2024-03-09,Income Tax,Debit Card,Annual income tax payment.,2455.18,0.0
2024-03-15,Income Tax,Credit Card,Annual income tax payment.,4332.02,0.0
2024-03-27,Travel,Credit Card,Expense for travel tickets and accommodation.,3130.84,0.0
2024-03-17,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,3308.34,0.0
2024-03-24,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1335.99,0.0
2024-03-07,Gifts,Credit Card,Purchased gifts for friends and family.,2222.42,0.0
2024-03-26,Groceries,UPI,Purchased groceries and household items.,4797.32,7.86
2024-03-09,Groceries,Debit Card,Purchased groceries and household items.,2523.04,0.0
2024-03-22,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4261.7,0.0
2024-03-05,Gifts,Credit Card,Purchased gifts for friends and family.,3788.57,0.0
2024-03-09,Gifts,Credit Card,Purchased gifts for friends and family.,2961.4,0.0
2024-03-17,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,586.52,0.0
2024-03-16,Income Tax,Debit Card,Annual income tax payment.,4142.43,0.0
2024-03-01,Subscriptions,Cash,Online streaming and magazine subscriptions.,3169.12,0.0
2024-03-03,Groceries,Credit Card,Purchased groceries and household items.,4175.67,0.0
2024-03-01,Income Tax,Cash,Annual income tax payment.,838.46,0.0
2024-03-22,Transportation,Debit Card,Daily commute and fuel expenses.,1636.37,0.0
2024-03-08,Groceries,Debit Card,Purchased groceries and household items.,4605.3,0.0
2024-03-26,Gifts,UPI,Purchased gifts for friends and family.,4485.63,19.32
2024-03-01,Entertainment,Cash,"Movies, concerts, and recreational activities.",1828.13,0.0
2024-03-08,Groceries,Debit Card,Purchased groceries and household items.,3455.33,0.0
2024-03-07,Income Tax,Credit Card,Annual income tax payment.,210.09,0.0
2024-03-27,Travel,Cash,Expense for travel tickets and accommodation.,3585.7,0.0
2024-03-27,Transportation,UPI,Daily commute and fuel expenses.,3124.15,15.22
2024-03-14,Income Tax,Cash,Annual income tax payment.,525.1,0.0
2024-03-26,Subscriptions,Cash,Online streaming and magazine subscriptions.,2440.82,0.0
2024-03-06,Travel,Debit Card,Expense for travel tickets and accommodation.,3605.56,0.0
2024-03-25,Entertainment,Cash,"Movies, concerts, and recreational activities.",359.94,0.0
2024-03-21,Entertainment,UPI,"Movies, concerts, and recreational activities.",257.1,2.97
2024-03-17,Gifts,UPI,Purchased gifts for friends and family.,4471.7,15.53
2024-03-22,Gifts,Debit Card,Purchased gifts for friends and family.,433.28,0.0
2024-03-13,Groceries,Credit Card,Purchased groceries and household items.,4036.16,0.0
2024-03-27,Income Tax,Debit Card,Annual income tax payment.,2512.62,0.0
2024-03-20,Gifts,Debit Card,Purchased gifts for friends and family.,2779.62,0.0
2024-03-21,Travel,Credit Card,Expense for travel tickets and accommodation.,3887.31,0.0
2024-03-03,Entertainment,UPI,"Movies, concerts, and recreational activities.",4805.17,8.05
2024-03-04,Entertainment,Cash,"Movies, concerts, and recreational activities.",1238.03,0.0
2024-03-16,Groceries,UPI,Purchased groceries and household items.,550.68,6.3
2024-03-15,Groceries,Credit Card,Purchased groceries and household items.,487.4,0.0
2024-03-25,Groceries,UPI,Purchased groceries and household items.,2229.23,6.13
2024-03-23,Income Tax,Credit Card,Annual income tax payment.,3485.41,0.0
2024-03-01,Gifts,Debit Card,Purchased gifts for friends and family.,4684.69,0.0
2024-03-27,Income Tax,Credit Card,Annual income tax payment.,3527.53,0.0
2024-03-02,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",231.73,0.0
2024-03-22,Entertainment,Cash,"Movies, concerts, and recreational activities.",1042.7,0.0
2024-03-14,Transportation,UPI,Daily commute and fuel expenses.,3166.4,10.1
2024-03-07,Groceries,Credit Card,Purchased groceries and household items.,2601.04,0.0
2024-03-16,Gifts,Credit Card,Purchased gifts for friends and family.,2742.09,0.0
2024-03-03,Gifts,Credit Card,Purchased gifts for friends and family.,3081.95,0.0
2024-03-05,Travel,Debit Card,Expense for travel tickets and accommodation.,2460.01,0.0
2024-03-17,Income Tax,Debit Card,Annual income tax payment.,3104.58,0.0
2024-03-07,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4989.64,0.0
2024-03-13,Transportation,Debit Card,Daily commute and fuel expenses.,3262.83,0.0
2024-03-03,Income Tax,Debit Card,Annual income tax payment.,2264.29,0.0
2024-03-07,Entertainment,UPI,"Movies, concerts, and recreational activities.",1362.92,10.83
2024-03-15,Travel,Credit Card,Expense for travel tickets and accommodation.,1961.36,0.0
2024-03-10,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3262.81,0.0
2024-03-02,Gifts,UPI,Purchased gifts for friends and family.,834.41,1.45
2024-03-05,Gifts,UPI,Purchased gifts for friends and family.,2366.89,14.61
2024-03-17,Groceries,Cash,Purchased groceries and household items.,3064.75,0.0
2024-03-06,Gifts,Cash,Purchased gifts for friends and family.,409.49,0.0
2024-03-06,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,2578.81,0.0
2024-03-20,Transportation,Debit Card,Daily commute and fuel expenses.,4906.63,0.0
2024-03-15,Entertainment,Cash,"Movies, concerts, and recreational activities.",2110.74,0.0
2024-03-14,Travel,Cash,Expense for travel tickets and accommodation.,868.97,0.0
2024-03-24,Subscriptions,UPI,Online streaming and magazine subscriptions.,2717.74,11.29
2024-03-09,Income Tax,UPI,Annual income tax payment.,673.64,18.03
2024-03-07,Transportation,Credit Card,Daily commute and fuel expenses.,696.07,0.0
2024-03-04,Subscriptions,Cash,Online streaming and magazine subscriptions.,707.4,0.0
2024-03-22,Gifts,UPI,Purchased gifts for friends and family.,2610.2,18.19
2024-03-22,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",2509.55,0.0
2024-03-19,Gifts,Debit Card,Purchased gifts for friends and family.,1404.06,0.0
2024-03-10,Gifts,Credit Card,Purchased gifts for friends and family.,158.55,0.0
2024-03-04,Travel,Debit Card,Expense for travel tickets and accommodation.,712.7,0.0
2024-04-07,Transportation,Cash,Daily commute and fuel expenses.,4041.56,0.0
2024-04-10,Travel,Debit Card,Expense for travel tickets and accommodation.,4818.59,0.0
2024-04-07,Transportation,UPI,Daily commute and fuel expenses.,2440.62,15.73
2024-04-16,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4724.11,0.0
2024-04-16,Travel,Cash,Expense for travel tickets and accommodation.,2275.78,0.0
2024-04-26,Entertainment,Cash,"Movies, concerts, and recreational activities.",1067.98,0.0
2024-04-16,Gas Bill,Credit Card,Monthly gas bill payment.,1400.72,0.0
2024-04-14,Subscriptions,UPI,Online streaming and magazine subscriptions.,1977.18,16.8
2024-04-15,Gifts,UPI,Purchased gifts for friends and family.,246.12,6.31
2024-04-13,Groceries,Cash,Purchased groceries and household items.,1657.17,0.0
2024-04-09,Subscriptions,UPI,Online streaming and magazine subscriptions.,1158.83,17.14
2024-04-10,Groceries,UPI,Purchased groceries and household items.,1461.06,11.65
2024-04-02,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",4275.5,0.0
2024-04-15,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",1163.07,0.0
2024-04-07,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",4157.6,0.0
2024-04-19,Gifts,Cash,Purchased gifts for friends and family.,4101.23,0.0
2024-04-23,Gifts,Credit Card,Purchased gifts for friends and family.,4157.11,0.0
2024-04-25,Entertainment,Cash,"Movies, concerts, and recreational activities.",2645.58,0.0
2024-04-08,Entertainment,UPI,"Movies, concerts, and recreational activities.",4072.69,18.11
2024-04-09,Groceries,Debit Card,Purchased groceries and household items.,1990.11,0.0
2024-04-14,Gifts,UPI,Purchased gifts for friends and family.,1858.71,18.98
2024-04-24,Travel,Cash,Expense for travel tickets and accommodation.,1177.87,0.0
2024-04-14,Travel,Debit Card,Expense for travel tickets and accommodation.,4772.61,0.0
2024-04-17,Travel,UPI,Expense for travel tickets and accommodation.,1378.16,5.63
2024-04-25,Gifts,Debit Card,Purchased gifts for friends and family.,2773.13,0.0
2024-04-21,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",2034.83,0.0
2024-04-06,Gifts,Debit Card,Purchased gifts for friends and family.,2418.32,0.0
2024-04-12,Gifts,Cash,Purchased gifts for friends and family.,2233.56,0.0
2024-04-11,Subscriptions,Cash,Online streaming and magazine subscriptions.,2108.74,0.0
2024-04-07,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,1822.83,0.0
2024-04-18,Groceries,Cash,Purchased groceries and household items.,956.39,0.0
2024-04-18,Travel,Cash,Expense for travel tickets and accommodation.,4383.65,0.0
2024-04-04,Entertainment,Cash,"Movies, concerts, and recreational activities.",1224.59,0.0
2024-04-25,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",4753.25,0.0
2024-04-10,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",2710.11,0.0
2024-04-07,Entertainment,UPI,"Movies, concerts, and recreational activities.",4973.02,11.21
2024-04-20,Travel,Debit Card,Expense for travel tickets and accommodation.,111.76,0.0
2024-04-20,Groceries,UPI,Purchased groceries and household items.,2678.73,6.66
2024-04-24,Groceries,UPI,Purchased groceries and household items.,2879.63,2.79
2024-04-02,Subscriptions,UPI,Online streaming and magazine subscriptions.,917.22,15.21
2024-04-13,Groceries,Debit Card,Purchased groceries and household items.,3109.51,0.0
2024-04-20,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,1756.9,0.0
2024-04-23,Transportation,Cash,Daily commute and fuel expenses.,4533.87,0.0
2024-04-09,Travel,UPI,Expense for travel tickets and accommodation.,2876.88,16.92
2024-04-20,Gifts,Debit Card,Purchased gifts for friends and family.,4650.21,0.0
2024-04-11,Groceries,Credit Card,Purchased groceries and household items.,3383.22,0.0
2024-04-19,Transportation,Cash,Daily commute and fuel expenses.,4126.27,0.0
2024-04-17,Entertainment,UPI,"Movies, concerts, and recreational activities.",934.59,5.98
2024-04-10,Entertainment,Cash,"Movies, concerts, and recreational activities.",324.53,0.0
2024-04-25,Groceries,Credit Card,Purchased groceries and household items.,814.71,0.0
2024-04-17,Groceries,Cash,Purchased groceries and household items.,2738.73,0.0
2024-04-08,Gifts,Credit Card,Purchased gifts for friends and family.,1350.8,0.0
2024-04-01,Gifts,Credit Card,Purchased gifts for friends and family.,1693.58,0.0
2024-04-01,Subscriptions,Cash,Online streaming and magazine subscriptions.,2865.89,0.0
2024-04-18,Entertainment,UPI,"Movies, concerts, and recreational activities.",3727.8,12.23
2024-04-24,Entertainment,Cash,"Movies, concerts, and recreational activities.",1312.65,0.0
2024-04-19,Transportation,Debit Card,Daily commute and fuel expenses.,3576.05,0.0
2024-04-17,Transportation,Debit Card,Daily commute and fuel expenses.,3376.4,0.0
2024-04-01,Travel,Cash,Expense for travel tickets and accommodation.,638.56,0.0
2024-04-17,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4134.35,0.0
2024-04-15,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",2883.58,0.0
2024-04-07,Gifts,Cash,Purchased gifts for friends and family.,633.4,0.0
2024-04-02,Entertainment,UPI,"Movies, concerts, and recreational activities.",4246.86,4.33
2024-04-02,Gifts,Debit Card,Purchased gifts for friends and family.,4577.12,0.0
2024-04-08,Gifts,Cash,Purchased gifts for friends and family.,4179.45,0.0
2024-04-03,Travel,Debit Card,Expense for travel tickets and accommodation.,4221.67,0.0
2024-04-20,Gifts,Cash,Purchased gifts for friends and family.,757.02,0.0
2024-04-16,Entertainment,UPI,"Movies, concerts, and recreational activities.",4135.58,12.75
2024-04-07,Travel,Credit Card,Expense for travel tickets and accommodation.,2910.47,0.0
2024-04-24,Subscriptions,UPI,Online streaming and magazine subscriptions.,3801.08,11.13
2024-04-14,Groceries,Cash,Purchased groceries and household items.,4290.4,0.0
2024-04-04,Groceries,Debit Card,Purchased groceries and household items.,3819.82,0.0
2024-04-17,Entertainment,Cash,"Movies, concerts, and recreational activities.",2729.82,0.0
2024-04-01,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4061.63,0.0
2024-04-24,Transportation,Debit Card,Daily commute and fuel expenses.,2296.59,0.0
2024-04-13,Travel,Credit Card,Expense for travel tickets and accommodation.,4994.51,0.0
2024-04-18,Groceries,Credit Card,Purchased groceries and household items.,3048.51,0.0
2024-04-02,Gifts,UPI,Purchased gifts for friends and family.,2094.1,8.66
2024-04-08,Transportation,Debit Card,Daily commute and fuel expenses.,4974.84,0.0
2024-04-15,Subscriptions,Cash,Online streaming and magazine subscriptions.,322.89,0.0
2024-04-14,Travel,UPI,Expense for travel tickets and accommodation.,3404.98,11.3
2024-04-24,Groceries,Cash,Purchased groceries and household items.,1197.81,0.0
2024-04-24,Travel,Debit Card,Expense for travel tickets and accommodation.,3744.99,0.0
2024-04-12,Groceries,UPI,Purchased groceries and household items.,3592.92,1.63
2024-04-21,Gifts,UPI,Purchased gifts for friends and family.,4677.96,3.6
2024-04-16,Gifts,Credit Card,Purchased gifts for friends and family.,3904.36,0.0
2024-04-26,Groceries,Cash,Purchased groceries and household items.,4523.21,0.0
2024-04-08,Subscriptions,Cash,Online streaming and magazine subscriptions.,3293.69,0.0
2024-04-22,Travel,Credit Card,Expense for travel tickets and accommodation.,840.13,0.0
2024-04-14,Transportation,Debit Card,Daily commute and fuel expenses.,2069.83,0.0
2024-04-26,Groceries,UPI,Purchased groceries and household items.,3360.55,6.24
2024-04-05,Transportation,UPI,Daily commute and fuel expenses.,4355.0,7.36
2024-04-18,Subscriptions,Cash,Online streaming and magazine subscriptions.,878.31,0.0
2024-04-01,Gifts,Credit Card,Purchased gifts for friends and family.,520.83,0.0
2024-04-21,Transportation,Credit Card,Daily commute and fuel expenses.,2121.18,0.0
2024-04-13,Gifts,Credit Card,Purchased gifts for friends and family.,751.89,0.0
2024-04-01,Travel,Credit Card,Expense for travel tickets and accommodation.,2402.38,0.0
2024-04-27,Subscriptions,UPI,Online streaming and magazine subscriptions.,4483.52,6.75
2024-04-01,Groceries,Credit Card,Purchased groceries and household items.,3198.46,0.0
2024-04-18,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2337.02,0.0
2024-04-08,Transportation,Debit Card,Daily commute and fuel expenses.,996.26,0.0
2024-04-10,Gifts,Debit Card,Purchased gifts for friends and family.,4433.43,0.0
2024-04-21,Travel,Credit Card,Expense for travel tickets and accommodation.,3664.35,0.0
2024-04-08,Gifts,Debit Card,Purchased gifts for friends and family.,4688.13,0.0
2024-04-16,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",2956.11,0.0
2024-04-26,Travel,Debit Card,Expense for travel tickets and accommodation.,1090.5,0.0
2024-04-08,Subscriptions,Cash,Online streaming and magazine subscriptions.,4565.93,0.0
2024-04-13,Travel,Credit Card,Expense for travel tickets and accommodation.,4341.09,0.0
2024-04-13,Groceries,Cash,Purchased groceries and household items.,2065.64,0.0
2024-04-21,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",1260.41,0.0
2024-04-02,Entertainment,UPI,"Movies, concerts, and recreational activities.",918.34,8.85
2024-04-19,Subscriptions,UPI,Online streaming and magazine subscriptions.,3677.63,5.41
2024-04-14,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,477.5,0.0
2024-04-22,Entertainment,Cash,"Movies, concerts, and recreational activities.",1738.45,0.0
2024-04-27,Transportation,Cash,Daily commute and fuel expenses.,2951.2,0.0
2024-04-25,Groceries,Credit Card,Purchased groceries and household items.,517.04,0.0
2024-04-10,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,259.34,0.0
2024-04-05,Transportation,UPI,Daily commute and fuel expenses.,2127.97,6.08
2024-04-09,Gifts,Debit Card,Purchased gifts for friends and family.,4451.6,0.0
2024-04-09,Entertainment,Cash,"Movies, concerts, and recreational activities.",670.12,0.0
2024-04-13,Groceries,UPI,Purchased groceries and household items.,2554.7,19.81
2024-04-17,Travel,Cash,Expense for travel tickets and accommodation.,271.9,0.0
2024-04-18,Groceries,Debit Card,Purchased groceries and household items.,4757.3,0.0
2024-04-18,Gifts,Debit Card,Purchased gifts for friends and family.,3181.85,0.0
2024-04-04,Transportation,UPI,Daily commute and fuel expenses.,1522.87,17.07
2024-04-24,Groceries,UPI,Purchased groceries and household items.,1024.4,15.58
2024-04-26,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",2408.57,0.0
2024-04-27,Travel,Cash,Expense for travel tickets and accommodation.,4391.01,0.0
2024-04-09,Travel,Debit Card,Expense for travel tickets and accommodation.,4837.24,0.0
2024-04-19,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",3887.92,0.0
2024-04-12,Entertainment,UPI,"Movies, concerts, and recreational activities.",1688.97,12.09
2024-04-07,Subscriptions,Cash,Online streaming and magazine subscriptions.,234.0,0.0
2024-04-26,Groceries,Cash,Purchased groceries and household items.,4473.18,0.0
2024-04-17,Transportation,Debit Card,Daily commute and fuel expenses.,4053.27,0.0
2024-04-25,Gifts,Debit Card,Purchased gifts for friends and family.,1813.92,0.0
2024-04-10,Groceries,Cash,Purchased groceries and household items.,2646.46,0.0
2024-04-25,Subscriptions,Cash,Online streaming and magazine subscriptions.,551.01,0.0
2024-04-22,Transportation,Debit Card,Daily commute and fuel expenses.,1515.67,0.0
2024-04-24,Transportation,Cash,Daily commute and fuel expenses.,1452.62,0.0
2024-04-14,Gifts,UPI,Purchased gifts for friends and family.,4698.98,9.91
2024-04-12,Travel,Credit Card,Expense for travel tickets and accommodation.,2197.55,0.0
2024-04-27,Groceries,UPI,Purchased groceries and household items.,4699.82,4.48
2024-04-05,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4215.64,0.0
2024-04-09,Travel,Debit Card,Expense for travel tickets and accommodation.,2273.88,0.0
2024-04-13,Subscriptions,UPI,Online streaming and magazine subscriptions.,3715.77,9.36
2024-04-03,Transportation,UPI,Daily commute and fuel expenses.,2518.3,12.99
2024-04-05,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,497.3,0.0
2024-04-06,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,885.33,0.0
2024-04-14,Gifts,UPI,Purchased gifts for friends and family.,946.05,14.57
2024-04-27,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,1110.82,0.0
2024-05-27,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,464.34,0.0
2024-05-23,Travel,UPI,Expense for travel tickets and accommodation.,3088.51,6.51
2024-05-20,Gifts,Cash,Purchased gifts for friends and family.,687.1,0.0
2024-05-05,Entertainment,Cash,"Movies, concerts, and recreational activities.",3628.96,0.0
2024-05-06,Gas Bill,Debit Card,Monthly gas bill payment.,1267.39,0.0
2024-05-11,Gifts,Credit Card,Purchased gifts for friends and family.,1756.7,0.0
2024-05-16,Gifts,Credit Card,Purchased gifts for friends and family.,4037.66,0.0
2024-05-22,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",2633.22,0.0
2024-05-24,Travel,UPI,Expense for travel tickets and accommodation.,4536.91,10.44
2024-05-04,Travel,UPI,Expense for travel tickets and accommodation.,1080.11,11.41
2024-05-13,Subscriptions,UPI,Online streaming and magazine subscriptions.,3218.6,13.02
2024-05-21,Groceries,Debit Card,Purchased groceries and household items.,2623.91,0.0
2024-05-14,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2426.69,0.0
2024-05-11,Groceries,Credit Card,Purchased groceries and household items.,2345.02,0.0
2024-05-15,Entertainment,UPI,"Movies, concerts, and recreational activities.",3486.21,10.33
2024-05-26,Gifts,Debit Card,Purchased gifts for friends and family.,3137.54,0.0
2024-05-22,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,4439.43,0.0
2024-05-19,Groceries,Credit Card,Purchased groceries and household items.,3788.68,0.0
2024-05-16,Travel,UPI,Expense for travel tickets and accommodation.,791.23,6.05
2024-05-06,Transportation,UPI,Daily commute and fuel expenses.,754.89,1.89
2024-05-18,Gifts,Debit Card,Purchased gifts for friends and family.,4811.46,0.0
2024-05-09,Transportation,UPI,Daily commute and fuel expenses.,4999.06,18.1
2024-05-17,Transportation,Cash,Daily commute and fuel expenses.,3063.47,0.0
2024-05-07,Gifts,UPI,Purchased gifts for friends and family.,2358.23,7.51
2024-05-12,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1421.63,0.0
2024-05-02,Gifts,UPI,Purchased gifts for friends and family.,3844.54,16.7
2024-05-12,Groceries,Debit Card,Purchased groceries and household items.,3111.45,0.0
2024-05-23,Groceries,Debit Card,Purchased groceries and household items.,1794.97,0.0
2024-05-17,Groceries,Debit Card,Purchased groceries and household items.,4558.05,0.0
2024-05-13,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1881.31,0.0
2024-05-01,Transportation,Debit Card,Daily commute and fuel expenses.,2447.18,0.0
2024-05-07,Subscriptions,Cash,Online streaming and magazine subscriptions.,342.06,0.0
2024-05-07,Subscriptions,Cash,Online streaming and magazine subscriptions.,163.11,0.0
2024-05-16,Gifts,Cash,Purchased gifts for friends and family.,498.23,0.0
2024-05-16,Gifts,Cash,Purchased gifts for friends and family.,4202.21,0.0
2024-05-09,Travel,Cash,Expense for travel tickets and accommodation.,1400.2,0.0
2024-05-27,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,2182.16,0.0
2024-05-20,Transportation,Credit Card,Daily commute and fuel expenses.,4138.57,0.0
2024-05-14,Transportation,Cash,Daily commute and fuel expenses.,1525.69,0.0
2024-05-25,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",167.76,0.0
2024-05-08,Travel,Debit Card,Expense for travel tickets and accommodation.,1224.98,0.0
2024-05-22,Groceries,UPI,Purchased groceries and household items.,3935.06,19.03
2024-05-16,Transportation,Cash,Daily commute and fuel expenses.,3074.66,0.0
2024-05-06,Travel,Debit Card,Expense for travel tickets and accommodation.,1215.76,0.0
2024-05-03,Transportation,Credit Card,Daily commute and fuel expenses.,520.79,0.0
2024-05-05,Entertainment,UPI,"Movies, concerts, and recreational activities.",1917.21,5.89
2024-05-15,Groceries,Credit Card,Purchased groceries and household items.,948.4,0.0
2024-05-16,Subscriptions,Cash,Online streaming and magazine subscriptions.,401.67,0.0
2024-05-02,Groceries,Credit Card,Purchased groceries and household items.,2531.9,0.0
2024-05-21,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,3059.84,0.0
2024-05-23,Entertainment,Cash,"Movies, concerts, and recreational activities.",3078.54,0.0
2024-05-06,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3981.74,0.0
2024-05-14,Subscriptions,UPI,Online streaming and magazine subscriptions.,1077.89,16.81
2024-05-13,Groceries,UPI,Purchased groceries and household items.,4427.41,8.68
2024-05-19,Gifts,Credit Card,Purchased gifts for friends and family.,3980.32,0.0
2024-05-18,Groceries,Cash,Purchased groceries and household items.,4011.24,0.0
2024-05-18,Gifts,Debit Card,Purchased gifts for friends and family.,1498.42,0.0
2024-05-08,Gifts,Credit Card,Purchased gifts for friends and family.,4649.83,0.0
2024-05-25,Transportation,Cash,Daily commute and fuel expenses.,1991.98,0.0
2024-05-20,Gifts,Debit Card,Purchased gifts for friends and family.,2690.7,0.0
2024-05-23,Subscriptions,Cash,Online streaming and magazine subscriptions.,1651.94,0.0
2024-05-21,Gifts,Credit Card,Purchased gifts for friends and family.,471.7,0.0
2024-05-11,Gifts,UPI,Purchased gifts for friends and family.,1942.58,14.47
2024-05-03,Subscriptions,UPI,Online streaming and magazine subscriptions.,2881.72,12.42
2024-05-13,Travel,Cash,Expense for travel tickets and accommodation.,2776.21,0.0
2024-05-02,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",565.16,0.0
2024-05-13,Gifts,Credit Card,Purchased gifts for friends and family.,2507.41,0.0
2024-05-24,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,3414.49,0.0
2024-05-13,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",113.42,0.0
2024-05-01,Groceries,Cash,Purchased groceries and household items.,1402.95,0.0
2024-05-19,Travel,Cash,Expense for travel tickets and accommodation.,738.48,0.0
2024-05-19,Groceries,Credit Card,Purchased groceries and household items.,4060.29,0.0
2024-05-25,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,4026.5,0.0
2024-05-23,Transportation,Debit Card,Daily commute and fuel expenses.,2557.2,0.0
2024-05-19,Transportation,Cash,Daily commute and fuel expenses.,1924.73,0.0
2024-05-01,Gifts,Cash,Purchased gifts for friends and family.,3366.06,0.0
2024-05-11,Travel,Cash,Expense for travel tickets and accommodation.,3376.6,0.0
2024-05-08,Travel,Credit Card,Expense for travel tickets and accommodation.,3526.54,0.0
2024-05-19,Transportation,Cash,Daily commute and fuel expenses.,1317.2,0.0
2024-05-13,Transportation,Debit Card,Daily commute and fuel expenses.,1578.69,0.0
2024-05-14,Gifts,Cash,Purchased gifts for friends and family.,350.06,0.0
2024-05-11,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",2537.75,0.0
2024-05-16,Transportation,UPI,Daily commute and fuel expenses.,3553.88,8.56
